,REG,R
"VC_IQA(A,B)-n1_c2",-2.862358125200039,-0.8975977804412396
"VC_IQA(A,B)-n1_h3",-0.2939670076220224,-0.8328849770668707
"VC_IQA(A,B)-n1_h4",-0.9184131678443025,-0.5367360659323239
"VC_IQA(A,B)-n1_c5",-1.5890109689785847,-0.6304841863434011
"VC_IQA(A,B)-n1_h6",-0.21811670639924682,-0.7232079609355915
"VC_IQA(A,B)-n1_h7",0.03972778476206622,0.04073744532007115
"VC_IQA(A,B)-n1_c8",1.1330322012096303,0.5782686915448897
"VC_IQA(A,B)-n1_h9",-0.571711917646519,-0.9623173827995417
"VC_IQA(A,B)-n1_h10",0.037432327709612724,0.026631502926303813
"VC_IQA(A,B)-n1_c11",-0.6987280024304476,-0.5819621756709565
"VC_IQA(A,B)-n1_h12",0.41765857862272865,0.43282957413192696
"VC_IQA(A,B)-n1_h13",-0.30318786888569427,-0.9025110845775505
"VC_IQA(A,B)-n1_s14",3.9421035426566595,0.6517889526897825
"VC_IQA(A,B)-n1_s15",-0.9685606265042696,-0.5953801921858366
"VC_IQA(A,B)-n1_c16",0.5599644722466575,0.7038876357409337
"VC_IQA(A,B)-n1_h17",-0.5632788805350956,-0.36486620786177537
"VC_IQA(A,B)-n1_h18",-0.2060150966202333,-0.8437068601417869
"VC_IQA(A,B)-n1_h19",-0.0982464666910302,-0.49590703594938773
"VC_IQA(A,B)-n1_c20",-0.16115782698100042,-0.26198309021389027
"VC_IQA(A,B)-n1_h21",-0.1537340225408277,-0.9879096223041347
"VC_IQA(A,B)-n1_h22",-0.1601613441061996,-0.7175693783148981
"VC_IQA(A,B)-n1_h23",0.946364676671756,0.5798295253156005
"VC_IQA(A,B)-n1_o24",-1.763717815973245,-0.9262368210146372
"VC_IQA(A,B)-n1_o25",-0.6379327373875192,-0.08434709413260283
"VC_IQA(A,B)-n1_o26",0.8149120812354297,0.6457272913179773
"VC_IQA(A,B)-n1_o27",-0.9028668755337027,-0.7748704663200092
"VC_IQA(A,B)-n1_o28",1.8988875619222045,0.8326117200284087
"VC_IQA(A,B)-n1_o29",-5.834928000052108,-0.8446250123733416
"VC_IQA(A,B)-n1_s30",-17.758328925648936,-0.8754864666354889
"VC_IQA(A,B)-n1_o31",4.049992411954941,0.8954404959602253
"VC_IQA(A,B)-n1_o32",3.830909052944732,0.8537385574458413
"VC_IQA(A,B)-n1_c33",0.3211525421515696,0.8029756709673914
"VC_IQA(A,B)-n1_h34",-0.18666978029575299,-0.140800951643527
"VC_IQA(A,B)-n1_h35",-0.2908172915819436,-0.9959034289161733
"VC_IQA(A,B)-n1_h36",0.014228759762358644,0.018356901388205647
"VC_IQA(A,B)-c2_h3",0.14188757807503669,0.6798913141530452
"VC_IQA(A,B)-c2_h4",0.38013458455040927,0.5821915898099714
"VC_IQA(A,B)-c2_c5",0.1244782376013402,0.3199945548453168
"VC_IQA(A,B)-c2_h6",0.04764043276478997,0.6102684149891795
"VC_IQA(A,B)-c2_h7",-0.04096120766195537,-0.17693267579675157
"VC_IQA(A,B)-c2_c8",-0.20187500261295926,-0.351035277014418
"VC_IQA(A,B)-c2_h9",0.1532819851399807,0.9540250881803037
"VC_IQA(A,B)-c2_h10",-0.03856201544940983,-0.0947465253414254
"VC_IQA(A,B)-c2_c11",0.08503767890048217,0.16688507569026495
"VC_IQA(A,B)-c2_h12",-0.17295108276174473,-0.4491779273402318
"VC_IQA(A,B)-c2_h13",0.1330591951994562,0.8724748548111574
"VC_IQA(A,B)-c2_s14",-1.8359507640198405,-0.8952768876795943
"VC_IQA(A,B)-c2_s15",0.19538300137560208,0.5341265984289275
"VC_IQA(A,B)-c2_c16",-0.1159563352504386,-0.5711061000585154
"VC_IQA(A,B)-c2_h17",0.09257749586911408,0.22905940595821134
"VC_IQA(A,B)-c2_h18",0.02914503342949737,0.4129103211001263
"VC_IQA(A,B)-c2_h19",0.0017811101078486066,0.054898448692859564
"VC_IQA(A,B)-c2_c20",0.05843435044475638,0.3539106108656356
"VC_IQA(A,B)-c2_h21",0.04100489515100733,0.8619779537275578
"VC_IQA(A,B)-c2_h22",0.044682916349030724,0.8129928584850967
"VC_IQA(A,B)-c2_h23",-0.2992989061610757,-0.6174714598629433
"VC_IQA(A,B)-c2_o24",0.776301265199676,0.9296668041400353
"VC_IQA(A,B)-c2_o25",0.7941026841851208,0.48708554515496105
"VC_IQA(A,B)-c2_o26",-0.20565681578844922,-0.4976967749921533
"VC_IQA(A,B)-c2_o27",0.23754517363665228,0.5180490901114891
"VC_IQA(A,B)-c2_o28",-0.36150841812985524,-0.889996059708614
"VC_IQA(A,B)-c2_o29",1.3133715219479036,0.7362717249776383
"VC_IQA(A,B)-c2_s30",1.8001178613914204,0.9040006419742859
"VC_IQA(A,B)-c2_o31",-0.47276161248750614,-0.962934682413009
"VC_IQA(A,B)-c2_o32",-0.4693530808188842,-0.6961441785636857
"VC_IQA(A,B)-c2_c33",-0.05168349502097105,-0.35266387124931625
"VC_IQA(A,B)-c2_h34",0.014187355897421112,0.03543689715922036
"VC_IQA(A,B)-c2_h35",0.05336614152585223,0.7838209633494627
"VC_IQA(A,B)-c2_h36",-0.0323993072331322,-0.1710903894415983
"VC_IQA(A,B)-h3_h4",0.061786614791821626,0.6835262152748833
"VC_IQA(A,B)-h3_c5",0.03734363668915855,0.5722277767393736
"VC_IQA(A,B)-h3_h6",0.004895576059145569,0.7809796133233136
"VC_IQA(A,B)-h3_h7",0.005657408732809621,0.25618284393206703
"VC_IQA(A,B)-h3_c8",0.012163861531712795,0.2905294310181613
"VC_IQA(A,B)-h3_h9",0.015683617339840052,0.9507458927646699
"VC_IQA(A,B)-h3_h10",0.002568807343818999,0.08092482193761223
"VC_IQA(A,B)-h3_c11",0.03402959266423309,0.3978799142147126
"VC_IQA(A,B)-h3_h12",-0.007989226172419643,-0.23368867101389643
"VC_IQA(A,B)-h3_h13",0.015862238972585287,0.9053319693726907
"VC_IQA(A,B)-h3_s14",-0.029107918116880953,-0.12506063413227514
"VC_IQA(A,B)-h3_s15",0.17302726681946823,0.5538192646830397
"VC_IQA(A,B)-h3_c16",-0.009049310332737674,-0.476285680327107
