,REG,R
E_IQA_Intra(A)-n1,-0.21844599915088922,-0.05596241330198792
E_IQA_Intra(A)-c2,0.06331832083451278,0.21837380944836712
E_IQA_Intra(A)-h3,0.07617883776216736,0.9063667404730551
E_IQA_Intra(A)-h4,-0.014811059051632339,-0.18554534227218702
E_IQA_Intra(A)-c5,0.13390457313692514,0.9062852761099892
E_IQA_Intra(A)-h6,-0.256863172651585,-0.9514577232580952
E_IQA_Intra(A)-h7,0.5920513133479084,0.8714559267425401
E_IQA_Intra(A)-c8,0.3196351526387591,0.9070096459518646
E_IQA_Intra(A)-h9,-0.3718078820353559,-0.8763137701934713
E_IQA_Intra(A)-h10,-0.002002893894230205,-0.029084223903316605
E_IQA_Intra(A)-c11,-0.010515218289283649,-0.034465417048733515
E_IQA_Intra(A)-h12,-0.25698789498351843,-0.6075450872146548
E_IQA_Intra(A)-h13,0.17291079597741288,0.5772328802098984
E_IQA_Intra(A)-s14,-0.5230675909506045,-0.7177111289070852
E_IQA_Intra(A)-s15,-1.8595513725200716,-0.5281607782892496
E_IQA_Intra(A)-c16,-0.01699040687309197,-0.3041110632527108
E_IQA_Intra(A)-h17,0.06683848234025498,0.4902421781708169
E_IQA_Intra(A)-h18,0.059550417135923545,0.8085131619996074
E_IQA_Intra(A)-h19,-0.01843912685160559,-0.6377250788202781
E_IQA_Intra(A)-c20,-0.027966833019640747,-0.8281840341237502
E_IQA_Intra(A)-h21,0.05176122192045982,0.48143305277208526
E_IQA_Intra(A)-h22,-0.014923727454674572,-0.5552428812543408
E_IQA_Intra(A)-h23,0.034936079473962066,0.6843561448106031
E_IQA_Intra(A)-o24,0.01973561628373626,0.2954720907878784
E_IQA_Intra(A)-o25,-0.2802272173932632,-0.7457612127911105
E_IQA_Intra(A)-o26,-0.4016064364520023,-0.4466058324795163
E_IQA_Intra(A)-o27,0.1354934489402864,0.8452366576466681
E_IQA_Intra(A)-o28,0.013143562724746673,0.023354028093893753
E_IQA_Intra(A)-o29,0.3978451832494757,0.9527456091128464
E_IQA_Intra(A)-s30,-0.7086531462542428,-0.09498511892740877
E_IQA_Intra(A)-o31,-0.1550516619020662,-0.6829277504796571
E_IQA_Intra(A)-o32,0.02722577071985459,0.19152861182203057
E_IQA_Intra(A)-c33,-0.020094291277034163,-0.24900204209567947
E_IQA_Intra(A)-h34,0.2089562631033142,0.5608088937880066
E_IQA_Intra(A)-h35,-0.015081646262796681,-0.3534699971460185
E_IQA_Intra(A)-h36,0.012332351351181894,0.03905706570766283
