,REG,R
"VC_IQA(A,B)-G6_G5",-1.0208937285975683,-0.6183577414598327
"VC_IQA(A,B)-G6_G7",-1.038509411703932,-0.8492355452122026
"VC_IQA(A,B)-G6_G8",0.6833484891344802,0.8244951780818517
"VC_IQA(A,B)-G6_G4",-0.19254756523995953,-0.7432863048642905
"VC_IQA(A,B)-G6_G10",0.2846055790816163,0.8560133672901504
"VC_IQA(A,B)-G6_G2",-0.053004566931229125,-0.4528342718447941
"VC_IQA(A,B)-G6_G11",0.363172140178247,0.9761277193752238
"VC_IQA(A,B)-G6_G1",-0.2030408637069825,-0.9909698566833018
"VC_IQA(A,B)-G6_G3",0.9038905965482237,0.995306318750482
"VC_IQA(A,B)-G6_G9",-1.4101853999354508,-0.9681225793352173
"VC_IQA(A,B)-G6_G6",-10.3817013539086,-0.8708892607972337
"VC_IQA(A,B)-G5_G5",0.14989099672216147,0.3933568878177452
"VC_IQA(A,B)-G5_G7",0.35628397670049944,0.6623756023551681
"VC_IQA(A,B)-G5_G8",0.03780549859876872,0.17816153850775931
"VC_IQA(A,B)-G5_G4",-0.06100193154543119,-0.35262267600845537
"VC_IQA(A,B)-G5_G10",0.1266910939048722,0.4656000083347586
"VC_IQA(A,B)-G5_G2",-0.09460180826462875,-0.3605681224848478
"VC_IQA(A,B)-G5_G11",-0.2720006042624248,-0.9962828265502837
"VC_IQA(A,B)-G5_G1",0.12334008612725185,0.9644785184558472
"VC_IQA(A,B)-G5_G3",-0.10042406600058143,-0.1661437248162363
"VC_IQA(A,B)-G5_G9",0.42508683332828945,0.6087798656895198
"VC_IQA(A,B)-G7_G7",0.36351313098081106,0.9219891122646475
"VC_IQA(A,B)-G7_G8",-0.6265432990444434,-0.9533805375907942
"VC_IQA(A,B)-G7_G4",0.08564538299306004,0.4824617314489709
"VC_IQA(A,B)-G7_G10",0.034556727576638906,0.4211723769236651
"VC_IQA(A,B)-G7_G2",-0.06159331183837271,-0.4907043151041201
"VC_IQA(A,B)-G7_G11",-0.2117010532786702,-0.979905385326535
"VC_IQA(A,B)-G7_G1",0.1375227912499829,0.9782114757628007
"VC_IQA(A,B)-G7_G3",-0.35085461635179294,-0.9008705893982017
"VC_IQA(A,B)-G7_G9",0.525389438821048,0.9756674379564692
"VC_IQA(A,B)-G8_G8",0.19520479863022405,0.722641625870929
"VC_IQA(A,B)-G8_G4",0.19240090074114638,0.5381796993872441
"VC_IQA(A,B)-G8_G10",0.1342078410902684,0.3941850033322332
"VC_IQA(A,B)-G8_G2",-0.3650566893915996,-0.918709809701635
"VC_IQA(A,B)-G8_G11",-0.27811619588134995,-0.952110698528464
"VC_IQA(A,B)-G8_G1",0.1719737106252277,0.9236129275790512
"VC_IQA(A,B)-G8_G3",-0.39292583313792284,-0.7762420135833094
"VC_IQA(A,B)-G8_G9",0.2783452334038801,0.43786074166900807
"VC_IQA(A,B)-G4_G4",-0.061114674599672174,-0.16205802873280212
"VC_IQA(A,B)-G4_G10",0.2464840723532976,0.5468035559431409
"VC_IQA(A,B)-G4_G2",-0.25404250044588605,-0.9308885145334205
"VC_IQA(A,B)-G4_G11",-0.5126842401747805,-0.9793242513568713
"VC_IQA(A,B)-G4_G1",0.08971391978041122,0.8256254891502416
"VC_IQA(A,B)-G4_G3",0.4853880937384013,0.6877359594138625
"VC_IQA(A,B)-G4_G9",0.6117235066763815,0.6098338301314228
"VC_IQA(A,B)-G10_G2",0.04497592157041192,0.11789843613511862
"VC_IQA(A,B)-G10_G11",-0.4975189194675286,-0.9241437003245557
"VC_IQA(A,B)-G10_G1",0.031706672032801315,0.013146544931488329
"VC_IQA(A,B)-G10_G10",-1.411668702566144,-0.8896977478106792
"VC_IQA(A,B)-G2_G11",0.09273871182736296,0.6363231769118904
"VC_IQA(A,B)-G2_G1",0.43405077237627043,0.9655780368546749
"VC_IQA(A,B)-G2_G2",5.260680296998471,0.9699840274722424
"VC_IQA(A,B)-G2_G3",2.163312460745014,0.9281660769119665
"VC_IQA(A,B)-G2_G9",0.9295800386783681,0.8440568904187751
"VC_IQA(A,B)-G11_G11",0.28227721773755654,0.9617194774703298
"VC_IQA(A,B)-G11_G1",1.6609832932532342,0.9739898909684875
"VC_IQA(A,B)-G1_G1",0.07787140764263475,0.8480254627072229
"VC_IQA(A,B)-G1_G3",-0.42282138133069264,-0.9544258931810925
"VC_IQA(A,B)-G1_G9",-0.11316546695253497,-0.49920599306477415
"VC_IQA(A,B)-G3_G9",-1.6640569480047387,-0.9082015541164445
"VX_IQA(A,B)-G6_G5",-0.05561508286673985,-0.5368291218672117
"VX_IQA(A,B)-G6_G7",-0.5770292955027378,-0.7612362110454499
"VX_IQA(A,B)-G6_G8",0.45373709715435356,0.8030414232073716
"VX_IQA(A,B)-G6_G4",0.025692990472312906,0.5223131499644329
"VX_IQA(A,B)-G6_G10",0.0055430822050615775,0.8510363561711134
"VX_IQA(A,B)-G6_G2",0.12318316091533034,0.23616045817100292
"VX_IQA(A,B)-G6_G11",-0.0012203365403236025,-0.8756648951385169
"VX_IQA(A,B)-G6_G1",-0.06966048705166057,-0.9101123920885437
"VX_IQA(A,B)-G6_G3",0.3809698449868881,0.8296162670501787
