,REG,R
E_IQA_Intra(A)-G6,0.8396783319342681,0.2370001747377181
E_IQA_Intra(A)-G5,0.32120147814707584,0.9724455455772476
E_IQA_Intra(A)-G7,0.28621551894471303,0.8980049425182581
E_IQA_Intra(A)-G8,-0.09377234490881453,-0.6010899132958291
E_IQA_Intra(A)-G4,-0.13631668599923616,-0.9402142080348429
E_IQA_Intra(A)-G10,-0.6519336625183807,-0.6199966869851853
E_IQA_Intra(A)-G2,-0.25702242688205795,-0.6354017440183376
E_IQA_Intra(A)-G11,0.1820683661827017,0.9594938464734291
E_IQA_Intra(A)-G1,-0.013890767995297081,-0.957700808746153
E_IQA_Intra(A)-G3,-0.38997258543329927,-0.9806387768640588
E_IQA_Intra(A)-G9,0.598753293679977,0.8427936231215584
