,E_IQA_Intra(A)-n1,E_IQA_Intra(A)-c2,E_IQA_Intra(A)-h3,E_IQA_Intra(A)-h4,E_IQA_Intra(A)-c5,E_IQA_Intra(A)-h6,E_IQA_Intra(A)-h7,E_IQA_Intra(A)-c8,E_IQA_Intra(A)-h9,E_IQA_Intra(A)-h10,E_IQA_Intra(A)-c11,E_IQA_Intra(A)-h12,E_IQA_Intra(A)-h13,E_IQA_Intra(A)-s14,E_IQA_Intra(A)-s15,E_IQA_Intra(A)-c16,E_IQA_Intra(A)-h17,E_IQA_Intra(A)-h18,E_IQA_Intra(A)-h19,E_IQA_Intra(A)-c20,E_IQA_Intra(A)-h21,E_IQA_Intra(A)-h22,E_IQA_Intra(A)-h23,E_IQA_Intra(A)-o24,E_IQA_Intra(A)-o25,E_IQA_Intra(A)-o26,E_IQA_Intra(A)-o27,E_IQA_Intra(A)-o28,E_IQA_Intra(A)-o29,E_IQA_Intra(A)-s30,E_IQA_Intra(A)-o31,E_IQA_Intra(A)-o32,E_IQA_Intra(A)-c33,E_IQA_Intra(A)-h34,E_IQA_Intra(A)-h35,E_IQA_Intra(A)-h36
0,-141887.8455250375,-98512.39400706001,-1195.632026813,-1171.2985651506,-98517.05952056,-1192.674585504375,-1169.302430083055,-98404.171521929,-1193.81999456223,-1188.470681060665,-98431.059235923,-1177.894281742065,-1192.46656049686,-1037735.59932558,-1037567.58454886,-98855.58351429101,-1153.571999905,-1189.8188283142151,-1191.88771288867,-98846.3720761905,-1189.52871893956,-1190.799726351355,-1189.06122928837,-196107.504187915,-196101.553754715,-196103.0125061445,-196090.047437953,-196287.054734256,-196315.71889568152,-1038010.9193374999,-196103.6731239525,-196105.298909692,-98838.3705288765,-1187.25567131056,-1194.982893965945,-1180.72339307404
1,-141997.6509871305,-98519.09861513501,-1195.004429577185,-1169.72647702977,-98519.2387722015,-1190.61103563086,-1178.093009775315,-98408.86046801652,-1190.710674327295,-1186.3319636997599,-98437.79651309451,-1166.4369910990952,-1196.974623418235,-1037719.956570325,-1037552.804532905,-98856.01813168451,-1156.542982492425,-1189.43403695083,-1191.068018372365,-98845.97155354,-1190.01556041611,-1191.06352690326,-1189.3216149049351,-196105.613659883,-196092.6300031515,-196104.42851443402,-196089.5394903445,-196286.0908318155,-196317.5415545385,-1038216.46894485,-196107.87855796,-196109.3040338025,-98839.87921469049,-1181.964063883535,-1195.10929107575,-1181.164401643425
2,-142011.4414048765,-98521.217409388,-1195.32559499365,-1169.44948331411,-98519.59276311549,-1190.04514964358,-1183.78961218205,-98411.87650063951,-1187.445261947435,-1187.255900910535,-98437.78127469249,-1165.667055032535,-1197.59020279537,-1037725.7396804099,-1037548.56610949,-98856.19408481801,-1156.511102306165,-1189.682795173075,-1191.038615607905,-98845.95636764799,-1189.958544244205,-1191.054816255655,-1189.471424884735,-196105.85526626947,-196091.9304334255,-196104.9031654515,-196090.06570093098,-196286.6820524075,-196320.38235604047,-1038238.614958585,-196107.06053355048,-196110.0842903945,-98839.791929943,-1181.61250394624,-1195.21436579117,-1181.94580901833
3,-141986.38341758552,-98520.77799258051,-1196.0647107883,-1169.31342759367,-98519.142545001,-1189.33665957129,-1187.3205592040551,-98413.771216344,-1184.705735117175,-1187.458119493525,-98437.9017693895,-1166.573371698905,-1196.87109651383,-1037727.27097703,-1037551.7289968301,-98856.14528990051,-1155.79200124937,-1189.980958347745,-1191.10233174075,-98845.81357720502,-1189.85022254668,-1190.966110850105,-1189.930944095535,-196106.07440887802,-196091.1792778755,-196104.92773750602,-196091.885729037,-196289.45609269547,-196323.351148042,-1038187.229460235,-196104.633145904,-196109.432260597,-98839.1951879245,-1183.19326535381,-1195.2881317604051,-1183.701882176005
4,-141955.345310566,-98519.8721110645,-1196.8463921341302,-1169.144652340875,-98520.4991802335,-1187.53514034762,-1190.09273767124,-98415.14235221299,-1182.06612586396,-1187.78105260663,-98437.4692655235,-1167.33805684423,-1196.31163333971,-1037724.11134531,-1037553.4485943101,-98856.1571939175,-1155.26294462087,-1190.33077831368,-1191.115857922925,-98845.7110278005,-1189.78237437568,-1190.898301168935,-1190.25859160895,-196106.672219475,-196089.647022948,-196104.90768393702,-196093.109695129,-196292.1124633245,-196324.5209264395,-1038123.4530196551,-196102.6038470695,-196108.3450909315,-98838.410895939,-1185.4002075662,-1195.287473862615,-1184.915396310035
5,-141919.28209369,-98518.92640858999,-1197.45118073252,-1169.586804656825,-98521.72567205649,-1184.83835770756,-1191.58770309483,-98414.939758131,-1179.8629889199951,-1188.18619204135,-98436.558844518,-1168.48477500264,-1195.525072528385,-1037715.460559105,-1037558.6734968399,-98855.99040115351,-1155.50067009829,-1190.735734619775,-1191.146054376035,-98845.7977585675,-1189.670713672275,-1190.78367606599,-1190.66664624134,-196107.3932474125,-196088.39413697348,-196104.9196903485,-196094.506602906,-196296.085960662,-196324.24314853948,-1038049.0441442351,-196100.55813360898,-196107.26560873,-98837.49949562199,-1188.1573559122999,-1195.13129308081,-1185.80520800695
6,-141947.136301493,-98514.821098025,-1197.17181151697,-1171.223777179235,-98521.9034499125,-1184.372486047,-1185.097893922365,-98413.86264413051,-1186.166087629085,-1186.6220520966701,-98429.93266012799,-1162.522676364825,-1203.7705511091349,-1037710.363255875,-1037451.005653835,-98854.428409813,-1158.66206547166,-1191.89562246997,-1190.860837699395,-98845.09689447,-1193.000043167005,-1190.17591792208,-1189.35992333914,-196107.040010017,-196092.1784644105,-196077.573052082,-196091.83067230202,-196275.53197661298,-196329.74388609952,-1038129.693885665,-196102.83488844402,-196108.574173683,-98839.77616906649,-1193.577663669005,-1193.91973762229,-1175.00367453132
7,-141900.90253561348,-98513.35324923799,-1197.6469053513001,-1173.3376397718,-98523.6231104045,-1180.94069037612,-1185.01157202448,-98412.6194541275,-1186.4137382579,-1187.3749576211849,-98427.307685228,-1164.285102471105,-1203.564922159175,-1037691.184135905,-1037457.929622435,-98853.838727764,-1160.774600821465,-1192.1884864404599,-1190.822449371225,-98844.650060625,-1193.11573364534,-1190.27125801864,-1189.6210947941101,-196108.0110800725,-196091.73651137002,-196079.3167542775,-196094.135330951,-196280.25995600902,-196321.25875056602,-1038041.75903811,-196103.2106736335,-196107.7889312665,-98838.708753663,-1193.734119734485,-1193.951374188405,-1177.455371866105
8,-141931.8645687705,-98515.54393230651,-1197.897978686935,-1180.2549515215699,-98529.681685324,-1175.955204959445,-1185.07834694359,-98415.13500868951,-1184.241900214495,-1188.904185714755,-98427.34437396501,-1165.287183619855,-1200.800866647675,-1037654.47904204,-1037527.499648845,-98852.31454099799,-1164.4780254188352,-1192.87580122513,-1190.96470187553,-98843.80500931849,-1191.934284138945,-1191.228715040425,-1190.1429438475,-196109.9442882325,-196093.2876173875,-196084.128132681,-196091.75341959,-196302.69090213152,-196303.423944357,-1038098.0586848101,-196105.0905053785,-196112.868777547,-98837.4213003555,-1184.18485201149,-1194.3242518729498,-1188.439746579505
9,-141921.43588323248,-98514.96745127151,-1198.3905645737,-1182.416041135545,-98532.6608900585,-1169.99422846033,-1186.1796423241901,-98415.57997580401,-1182.839308440035,-1190.06658690359,-98424.04696650701,-1170.1442565929249,-1199.633398112565,-1037624.81404264,-1037553.2089911799,-98850.9096280715,-1169.552251343995,-1193.17090716258,-1190.89492264928,-98844.069399794,-1191.39766725192,-1191.201343205235,-1190.10420123436,-196112.1807889015,-196097.074068854,-196087.63558801552,-196090.573162822,-196313.2080565175,-196291.1916374625,-1038079.10562039,-196105.8533969135,-196113.78132783298,-98837.6494510545,-1181.51510918589,-1194.26353828816,-1191.269446417305
