,REG,R
"VC_IQA(A,B)-n1_h2",0.4401312212487814,0.8318259224994571
"VC_IQA(A,B)-n1_c3",1.4403140438925683,0.9599512707601763
"VC_IQA(A,B)-n1_h4",-0.11704473408148607,-0.47352577067245266
"VC_IQA(A,B)-n1_h5",-0.6323209352641481,-0.8823509389916434
"VC_IQA(A,B)-n1_c6",0.7692846955707533,0.7057498897423476
"VC_IQA(A,B)-n1_h7",0.24274142977123653,0.4718755992942597
"VC_IQA(A,B)-n1_h8",0.045895168896195236,0.3384210233603432
"VC_IQA(A,B)-n1_c9",0.1391092033601122,0.7075029970105616
"VC_IQA(A,B)-n1_h10",0.002045612579087868,0.09439943443007232
"VC_IQA(A,B)-n1_h11",-0.02103108123599681,-0.2353125514881727
"VC_IQA(A,B)-n1_c12",0.00028709461345763246,0.0013689908395473635
"VC_IQA(A,B)-n1_h13",-0.37408661466564497,-0.9077911891474092
"VC_IQA(A,B)-n1_h14",1.0816417153043287,0.9535955422614085
"VC_IQA(A,B)-n1_n15",0.9063360819625566,0.7198894490641654
"VC_IQA(A,B)-n1_h16",-2.089813345941112,-0.9618422691057208
"VC_IQA(A,B)-n1_n17",-0.6201141484865237,-0.8048941663248965
"VC_IQA(A,B)-n1_h18",0.137061824465012,0.8972428945431652
"VC_IQA(A,B)-n1_s19",1.0518646248852037,0.7797966589328763
"VC_IQA(A,B)-n1_s20",0.9288464761191264,0.19176136544305245
"VC_IQA(A,B)-n1_c21",-0.05201107584324409,-0.7234984889975191
"VC_IQA(A,B)-n1_h22",0.014119141941006453,0.37055633289433576
"VC_IQA(A,B)-n1_h23",0.016282843462793482,0.4627856983055486
"VC_IQA(A,B)-n1_h24",0.013234363432532939,0.48720579116571594
"VC_IQA(A,B)-n1_c25",-0.07520490092538358,-0.37298672384766185
"VC_IQA(A,B)-n1_h26",0.12150524739244352,0.8149101258097496
"VC_IQA(A,B)-n1_h27",0.08266530758658527,0.47623237992093836
"VC_IQA(A,B)-n1_h28",0.003993800451732394,0.024520795932968704
"VC_IQA(A,B)-n1_o29",-0.362190627402718,-0.7696614958469457
"VC_IQA(A,B)-n1_o30",-0.4042728534169613,-0.7874996589134233
"VC_IQA(A,B)-n1_o31",-2.2802970488006005,-0.45147385196144924
"VC_IQA(A,B)-n1_o32",1.2747613905717463,0.7443116670118348
"VC_IQA(A,B)-h2_c3",-0.31407553715219466,-0.9795685864255331
"VC_IQA(A,B)-h2_h4",0.03821079230928035,0.49782101274141904
"VC_IQA(A,B)-h2_h5",0.23693466341783953,0.9174148736893815
"VC_IQA(A,B)-h2_c6",-0.1269865434501071,-0.7418844656858996
"VC_IQA(A,B)-h2_h7",-0.06553897403065681,-0.4650475917272443
"VC_IQA(A,B)-h2_h8",-0.014111617573655637,-0.3739161173847093
"VC_IQA(A,B)-h2_c9",-0.02679636847183073,-0.29306813897902734
"VC_IQA(A,B)-h2_h10",0.0019375170470324959,0.19696848580884316
"VC_IQA(A,B)-h2_h11",0.009766221066153744,0.25916273492396424
"VC_IQA(A,B)-h2_c12",0.004487419546395342,0.13180859885343682
"VC_IQA(A,B)-h2_h13",0.12824161053679478,0.96036716125463
"VC_IQA(A,B)-h2_h14",-0.32239206988213404,-0.9599357654944236
"VC_IQA(A,B)-h2_n15",-0.23919325820935677,-0.6747481424496017
"VC_IQA(A,B)-h2_h16",0.6119520611430761,0.9416520748631134
"VC_IQA(A,B)-h2_n17",0.18126233162432742,0.6767673371118189
"VC_IQA(A,B)-h2_h18",-0.020781534031227587,-0.4487421912244608
"VC_IQA(A,B)-h2_s19",-0.2933020723681176,-0.731096676385717
"VC_IQA(A,B)-h2_s20",-0.2949153341079888,-0.22272750158921142
"VC_IQA(A,B)-h2_c21",0.018770904587330495,0.7243079088275574
"VC_IQA(A,B)-h2_h22",-0.004072141145081695,-0.25023814207968414
"VC_IQA(A,B)-h2_h23",-0.004112491126052746,-0.25840706172613753
"VC_IQA(A,B)-h2_h24",-0.002828792834275663,-0.22600614153106793
"VC_IQA(A,B)-h2_c25",0.026531841477991567,0.38725401079600447
"VC_IQA(A,B)-h2_h26",-0.040179015884210835,-0.8176298120548443
"VC_IQA(A,B)-h2_h27",-0.02860905612923195,-0.4885802646139233
"VC_IQA(A,B)-h2_h28",-0.0025018205179217195,-0.04552028383503776
"VC_IQA(A,B)-h2_o29",0.08810496603279754,0.6986990590201502
"VC_IQA(A,B)-h2_o30",0.10013435707266703,0.6645291584215631
"VC_IQA(A,B)-h2_o31",0.6993507272188355,0.4674110934335916
"VC_IQA(A,B)-h2_o32",-0.42428012536778587,-0.846490926090221
"VC_IQA(A,B)-c3_h4",0.08687761573030103,0.4856198082595876
"VC_IQA(A,B)-c3_h5",0.3869132952789749,0.8411458523516709
"VC_IQA(A,B)-c3_c6",-0.2945555137146265,-0.9270420561744743
"VC_IQA(A,B)-c3_h7",-0.09269534833446243,-0.4934468769005725
"VC_IQA(A,B)-c3_h8",-0.009669326111481828,-0.21244514624362293
"VC_IQA(A,B)-c3_c9",-0.11351869009630823,-0.9799849154168064
"VC_IQA(A,B)-c3_h10",-0.006695765554092819,-0.5918646973163701
"VC_IQA(A,B)-c3_h11",-0.0012900816011133754,-0.052900323584427686
"VC_IQA(A,B)-c3_c12",-0.6428281581433715,-0.997927560172778
"VC_IQA(A,B)-c3_h13",0.18221279758630712,0.9603874734614789
"VC_IQA(A,B)-c3_h14",-0.6115831009630772,-0.9757586074594592
"VC_IQA(A,B)-c3_n15",0.5981165194953669,0.9177979123137355
"VC_IQA(A,B)-c3_h16",0.5312113722159919,0.8671565970723302
"VC_IQA(A,B)-c3_n17",0.41921690879320705,0.993093400055203
"VC_IQA(A,B)-c3_h18",-0.11705736194207483,-0.9746635722196768
"VC_IQA(A,B)-c3_s19",-0.7519360607065778,-0.9909362432076759
"VC_IQA(A,B)-c3_s20",-2.0795488467237533,-0.6816565123565239
"VC_IQA(A,B)-c3_c21",0.03322760406492845,0.9726465591587612
"VC_IQA(A,B)-c3_h22",-0.015231825100065379,-0.8782136715944199
"VC_IQA(A,B)-c3_h23",-0.017473778105652957,-0.9220116235990183
"VC_IQA(A,B)-c3_h24",-0.015532472079115619,-0.9649025528345184
"VC_IQA(A,B)-c3_c25",0.06147947406192046,0.5574873400025889
"VC_IQA(A,B)-c3_h26",-0.07418334990334402,-0.845264583181439
"VC_IQA(A,B)-c3_h27",-0.059582641886286106,-0.6192769530993922
"VC_IQA(A,B)-c3_h28",-0.024931628212861802,-0.297071961886085
"VC_IQA(A,B)-c3_o29",0.2993420007451759,0.9938702516829324
"VC_IQA(A,B)-c3_o30",0.30496112594561725,0.9899905330206554
"VC_IQA(A,B)-c3_o31",1.618369690066533,0.6096064129899827
"VC_IQA(A,B)-c3_o32",0.1825586462611599,0.42089598547867196
"VC_IQA(A,B)-h4_h5",0.033392685642381646,0.9518015213385576
"VC_IQA(A,B)-h4_c6",0.048658987704677366,0.5539344055030465
"VC_IQA(A,B)-h4_h7",0.0037554741016627264,0.48360567009294847
"VC_IQA(A,B)-h4_h8",-4.1032033310850846e-05,-0.01169424688122557
"VC_IQA(A,B)-h4_c9",0.022897292021444703,0.530633565449747
"VC_IQA(A,B)-h4_h10",0.002037821559808758,0.49123108087003414
"VC_IQA(A,B)-h4_h11",0.0028266546038098884,0.5512791725921727
"VC_IQA(A,B)-h4_c12",0.08739110927215715,0.571747872580456
"VC_IQA(A,B)-h4_h13",0.009421318295127091,0.7116250042496607
"VC_IQA(A,B)-h4_h14",0.038811081646566645,0.8568591131656407
"VC_IQA(A,B)-h4_n15",-0.6558026975465168,-0.908828392816848
"VC_IQA(A,B)-h4_h16",0.18991568038836673,0.8819001162390857
"VC_IQA(A,B)-h4_n17",-0.05610077926821302,-0.5182826967372028
"VC_IQA(A,B)-h4_h18",0.01824809255628356,0.5266935392669638
"VC_IQA(A,B)-h4_s19",0.09908550088607083,0.5030867136499808
"VC_IQA(A,B)-h4_s20",1.3502998582870025,0.7337419600907513
"VC_IQA(A,B)-h4_c21",-0.003213928858551291,-0.4738422184138489
"VC_IQA(A,B)-h4_h22",0.001987892680437479,0.4784971632145714
"VC_IQA(A,B)-h4_h23",0.0022508339902281363,0.46858120750893606
"VC_IQA(A,B)-h4_h24",0.0021099212035885512,0.46151456197486657
"VC_IQA(A,B)-h4_c25",-0.05712755720306066,-0.8232145167605253
"VC_IQA(A,B)-h4_h26",0.03448464886223793,0.790619017367657
"VC_IQA(A,B)-h4_h27",0.041693536554822955,0.7669497968832528
"VC_IQA(A,B)-h4_h28",0.040099317856590384,0.7652857863622172
"VC_IQA(A,B)-h4_o29",-0.03833257417421024,-0.49514796692584834
"VC_IQA(A,B)-h4_o30",-0.04606250592725224,-0.5036616684633569
"VC_IQA(A,B)-h4_o31",-0.6787604117082833,-0.6337101162566398
"VC_IQA(A,B)-h4_o32",-0.4226320316757394,-0.7836673965354625
"VC_IQA(A,B)-h5_c6",0.19428217372397927,0.8987868559575689
"VC_IQA(A,B)-h5_h7",0.003854315446878416,0.3608931559860699
"VC_IQA(A,B)-h5_h8",-0.010298026579619882,-0.9867091655055805
"VC_IQA(A,B)-h5_c9",0.12341184648448109,0.9192036308231081
"VC_IQA(A,B)-h5_h10",0.011107639921118828,0.9109486243393486
"VC_IQA(A,B)-h5_h11",0.013664514689415989,0.9362957535401023
"VC_IQA(A,B)-h5_c12",0.21734607195419509,0.8503601120005086
"VC_IQA(A,B)-h5_h13",0.01719216663684214,0.6038810183999633
"VC_IQA(A,B)-h5_h14",-0.002286098769611303,-0.17906917197763603
"VC_IQA(A,B)-h5_n15",-0.4646557328202889,-0.7490843618444346
"VC_IQA(A,B)-h5_h16",0.20668102099417734,0.7137290134343139
"VC_IQA(A,B)-h5_n17",-0.38473180724825407,-0.9240309302794335
"VC_IQA(A,B)-h5_h18",0.13038597509708486,0.9361621638087343
"VC_IQA(A,B)-h5_s19",0.7122704436843773,0.9164469349392275
"VC_IQA(A,B)-h5_s20",0.6741571412771926,0.6298369604583901
"VC_IQA(A,B)-h5_c21",-0.02647061204930801,-0.8993550185530067
"VC_IQA(A,B)-h5_h22",0.016967660018747797,0.9050699793059174
"VC_IQA(A,B)-h5_h23",0.01979469954376071,0.9027678854778012
"VC_IQA(A,B)-h5_h24",0.018478381065321937,0.9029355037277306
"VC_IQA(A,B)-h5_c25",-0.023521273791304885,-0.8499655855744821
"VC_IQA(A,B)-h5_h26",0.01220459730362708,0.7230225859223479
"VC_IQA(A,B)-h5_h27",0.016814277798601285,0.7877696003853489
"VC_IQA(A,B)-h5_h28",0.016986449470202915,0.7996634172917978
"VC_IQA(A,B)-h5_o29",-0.3128254681538531,-0.9249993942195045
"VC_IQA(A,B)-h5_o30",-0.29913686673833484,-0.9095854970341155
"VC_IQA(A,B)-h5_o31",-0.25540023996706096,-0.5310809410920811
"VC_IQA(A,B)-h5_o32",-0.302549881373589,-0.6807285149352864
"VC_IQA(A,B)-c6_h7",-0.16711689581061737,-0.526947319878106
"VC_IQA(A,B)-c6_h8",-0.04673252539394657,-0.45127539064766303
"VC_IQA(A,B)-c6_c9",-0.049884900080919344,-0.6030868809043328
"VC_IQA(A,B)-c6_h10",-0.003776448194881061,-0.24353374075600936
"VC_IQA(A,B)-c6_h11",0.005068794465452973,0.14297435994090976
"VC_IQA(A,B)-c6_c12",-0.12967857487324036,-0.8883020927683378
"VC_IQA(A,B)-c6_h13",0.08110313980338309,0.9089494211603285
"VC_IQA(A,B)-c6_h14",-0.34567196612911405,-0.9412032687274953
"VC_IQA(A,B)-c6_n15",0.36006619544294466,0.8067094421678663
"VC_IQA(A,B)-c6_h16",0.3760739041371936,0.9547727217261808
"VC_IQA(A,B)-c6_n17",0.25035720848402526,0.789781394019417
"VC_IQA(A,B)-c6_h18",-0.05660239085615564,-0.8426930845469675
"VC_IQA(A,B)-c6_s19",-0.3672343111831459,-0.7808213877400777
"VC_IQA(A,B)-c6_s20",-1.7314473955849985,-0.6054795723138268
"VC_IQA(A,B)-c6_c21",0.016098898912092492,0.7403287362416627
"VC_IQA(A,B)-c6_h22",-0.0037601367682579706,-0.3018776168375516
"VC_IQA(A,B)-c6_h23",-0.0036897023410317376,-0.34292897734581324
"VC_IQA(A,B)-c6_h24",-0.002982820675468759,-0.3911639326096297
"VC_IQA(A,B)-c6_c25",0.05915907734133816,0.6468626658445992
"VC_IQA(A,B)-c6_h26",-0.06443858524694555,-0.8852318366065238
"VC_IQA(A,B)-c6_h27",-0.05565185415789855,-0.6894683830778638
