,REG,R
"VC_IQA(A,B)-G6_G6",0.6282073215866962,0.9933732859374838
"VC_IQA(A,B)-G6_G7",0.6367445861707394,0.980728459345121
"VC_IQA(A,B)-G6_G5",0.52569609214476,0.9694364246048048
"VC_IQA(A,B)-G6_G4",0.10873434095769575,0.9644692174933798
"VC_IQA(A,B)-G6_G8",0.8918397672215029,0.9980433032824106
"VC_IQA(A,B)-G6_G9",-1.0851311083126312,-0.9991775252111832
"VC_IQA(A,B)-G6_G3",-0.07256444285152501,-0.80542131721386
"VC_IQA(A,B)-G6_G2",0.019586065582128137,0.6780643006367926
"VC_IQA(A,B)-G6_G10",1.0766728755967108,0.9808024334887265
"VC_IQA(A,B)-G6_G1",0.011924363829453196,0.9144170070310426
"VC_IQA(A,B)-G6_G11",0.07269373529033116,0.995143791321189
"VC_IQA(A,B)-G7_G7",-0.0851797294254154,-0.8554721160692389
"VC_IQA(A,B)-G7_G5",-0.12117254142931119,-0.9273607354647655
"VC_IQA(A,B)-G7_G4",-0.06246018485636808,-0.9667277606417662
"VC_IQA(A,B)-G7_G8",-0.6221120551063051,-0.990107333641523
"VC_IQA(A,B)-G7_G9",0.50309979270551,0.9966411436375846
"VC_IQA(A,B)-G7_G3",0.08453344970497502,0.9356912214553033
"VC_IQA(A,B)-G7_G2",-0.02794017027691565,-0.8983148085194358
"VC_IQA(A,B)-G7_G10",-0.4587816552169127,-0.9874890533222714
"VC_IQA(A,B)-G7_G1",-0.010575183453166248,-0.9516664913651368
"VC_IQA(A,B)-G7_G11",-0.021018646749830398,-0.9253140645168538
"VC_IQA(A,B)-G5_G5",-0.15600222245087694,-0.9728433897116374
"VC_IQA(A,B)-G5_G4",-0.07681848965391828,-0.9730198911227927
"VC_IQA(A,B)-G5_G8",-0.2804490539163741,-0.9861617282171398
"VC_IQA(A,B)-G5_G9",0.5024936202903734,0.9803003012575563
"VC_IQA(A,B)-G5_G3",0.06988363461263665,0.9665240621212446
"VC_IQA(A,B)-G5_G2",-0.01996452047188747,-0.9151460006025747
"VC_IQA(A,B)-G5_G10",-0.3517428043165342,-0.9568426776638556
"VC_IQA(A,B)-G5_G1",-0.010645379132638862,-0.9738205999241738
"VC_IQA(A,B)-G5_G11",-0.029788262612091068,-0.9806911720360455
"VC_IQA(A,B)-G4_G4",-0.022354861335046217,-0.9665614519923856
"VC_IQA(A,B)-G4_G8",-0.12391837865564238,-0.9833471526529556
"VC_IQA(A,B)-G4_G9",0.29493444401521546,0.9600130866449424
"VC_IQA(A,B)-G4_G3",-0.05852262307617023,-0.899197324451905
"VC_IQA(A,B)-G4_G2",0.03097934639050205,0.9914029138730139
"VC_IQA(A,B)-G4_G10",-0.14650570780629857,-0.9224559503140697
"VC_IQA(A,B)-G4_G1",-0.007345832832427311,-0.8572343998350382
"VC_IQA(A,B)-G4_G11",-0.019341152495981263,-0.9619842569610232
"VC_IQA(A,B)-G8_G8",0.1399245675776832,0.9585136764171158
"VC_IQA(A,B)-G8_G9",-0.02998570076929261,-0.08563533402115109
"VC_IQA(A,B)-G8_G3",0.1679587577953287,0.9941099205455723
"VC_IQA(A,B)-G8_G2",-0.07771859332291287,-0.9969897407990275
"VC_IQA(A,B)-G8_G10",-0.2302486791868112,-0.6910455540169154
"VC_IQA(A,B)-G8_G1",-0.019924447376752284,-0.9949644849680789
"VC_IQA(A,B)-G8_G11",0.030387869489195043,0.9877535263045456
"VC_IQA(A,B)-G9_G9",2.1301681071447085,0.9226835238100055
"VC_IQA(A,B)-G9_G3",-0.4430253333256959,-0.9732895952714075
"VC_IQA(A,B)-G9_G2",0.19305994616258565,0.9850438175244617
"VC_IQA(A,B)-G9_G10",2.662987462417809,0.7857380508532543
"VC_IQA(A,B)-G9_G1",0.06689672920271557,0.9810746902707952
"VC_IQA(A,B)-G9_G11",0.010377819329416126,0.22611210414873575
"VC_IQA(A,B)-G3_G3",-0.05773050563925657,-0.8431756447985058
"VC_IQA(A,B)-G3_G2",-0.30922772883629057,-0.9837126396840805
"VC_IQA(A,B)-G3_G10",0.22725415749976657,0.9371029660228893
"VC_IQA(A,B)-G3_G1",0.000537257617842252,0.0622761720534128
"VC_IQA(A,B)-G3_G11",0.032127029344960825,0.9859507940680166
"VC_IQA(A,B)-G2_G10",-0.12221275042287401,-0.9630170498036275
"VC_IQA(A,B)-G2_G1",-0.0032266518030937452,-0.49665780108796165
"VC_IQA(A,B)-G2_G11",-0.01602077031669595,-0.9933598409541915
"VC_IQA(A,B)-G2_G2",-0.17403976429030435,-0.9664792707183959
"VC_IQA(A,B)-G10_G1",-0.024675727844939464,-0.9345334005240096
"VC_IQA(A,B)-G10_G11",-0.004372950043318959,-0.1128924704944177
"VC_IQA(A,B)-G10_G10",1.419640538124391,0.7099059214290467
"VC_IQA(A,B)-G1_G1",0.0012855825533369001,0.30320751949413843
"VC_IQA(A,B)-G1_G11",-0.007005341866349986,-0.9936103092666506
"VC_IQA(A,B)-G11_G11",0.012312009102766404,0.9297940958787272
"VX_IQA(A,B)-G6_G6",-0.14247742108113273,-0.9474033417398271
"VX_IQA(A,B)-G6_G7",-0.31613233985076344,-0.9956344692764771
"VX_IQA(A,B)-G6_G5",-0.25278906083675345,-0.9903017058704299
"VX_IQA(A,B)-G6_G4",-0.0048258438454516816,-0.4496331959426829
"VX_IQA(A,B)-G6_G8",-0.46125261837394904,-0.988008044110011
"VX_IQA(A,B)-G6_G9",1.4048824360722254,0.9377035367317006
"VX_IQA(A,B)-G6_G3",0.06760726222436333,0.9750335714863282
"VX_IQA(A,B)-G6_G2",0.002134777735546261,0.9740186570084015
"VX_IQA(A,B)-G6_G10",0.015208795715862042,0.7986206706899118
"VX_IQA(A,B)-G6_G1",-0.0044358129775296665,-0.7120181801413793
"VX_IQA(A,B)-G6_G11",0.005790662738665369,0.9617676969246867
"VX_IQA(A,B)-G7_G7",0.04239176449069947,0.409891311280747
"VX_IQA(A,B)-G7_G5",-0.07762395953174786,-0.8358548946092929
"VX_IQA(A,B)-G7_G4",-0.003893203203897858,-0.9353901678321906
"VX_IQA(A,B)-G7_G8",0.906599573343717,0.9780512953991645
"VX_IQA(A,B)-G7_G9",-0.3251155849888762,-0.964029785463144
"VX_IQA(A,B)-G7_G3",-0.0006391194267658068,-0.9675249500734701
"VX_IQA(A,B)-G7_G2",-9.486946886836147e-05,-0.8623162170269529
"VX_IQA(A,B)-G7_G10",-0.01101955468947736,-0.7030972470210822
"VX_IQA(A,B)-G7_G1",-0.0002630831124634803,-0.8833333739821557
"VX_IQA(A,B)-G7_G11",-2.049595219656008e-05,-0.030264377500047426
"VX_IQA(A,B)-G5_G5",0.08853896546696564,0.9068145450252222
"VX_IQA(A,B)-G5_G4",-0.008012425897362618,-0.8479308776141348
