,E_IQA_Intra(A)-n1,E_IQA_Intra(A)-h2,E_IQA_Intra(A)-c3,E_IQA_Intra(A)-h4,E_IQA_Intra(A)-h5,E_IQA_Intra(A)-c6,E_IQA_Intra(A)-h7,E_IQA_Intra(A)-h8,E_IQA_Intra(A)-c9,E_IQA_Intra(A)-h10,E_IQA_Intra(A)-h11,E_IQA_Intra(A)-c12,E_IQA_Intra(A)-h13,E_IQA_Intra(A)-h14,E_IQA_Intra(A)-n15,E_IQA_Intra(A)-h16,E_IQA_Intra(A)-n17,E_IQA_Intra(A)-h18,E_IQA_Intra(A)-s19,E_IQA_Intra(A)-s20,E_IQA_Intra(A)-c21,E_IQA_Intra(A)-h22,E_IQA_Intra(A)-h23,E_IQA_Intra(A)-h24,E_IQA_Intra(A)-c25,E_IQA_Intra(A)-h26,E_IQA_Intra(A)-h27,E_IQA_Intra(A)-h28,E_IQA_Intra(A)-o29,E_IQA_Intra(A)-o30,E_IQA_Intra(A)-o31,E_IQA_Intra(A)-o32
0,-142344.9403701415,-1005.4136170824901,-98535.499740814,-1200.340399841415,-1201.394244087925,-98524.8910378685,-1190.9362649275001,-1207.8487492383451,-98534.91867828151,-1197.768179322955,-1193.53019092705,-98541.50056523549,-1181.2491219338,-1199.98910807269,-142130.06349288198,-940.1127227756499,-142203.6250958225,-985.958347678865,-1038132.5441809751,-1038098.29639758,-98839.49593894949,-1193.3553160076349,-1192.470476823935,-1193.35566023694,-98837.6423359495,-1195.6692841020251,-1193.709472800725,-1193.291473036885,-196131.430878762,-196118.775312387,-196114.8418749285,-196126.79327695252
1,-142343.49624012152,-1005.27785379024,-98532.9098977295,-1201.716511558015,-1201.26821979912,-98527.474632263,-1191.20731172813,-1207.9690680531,-98535.3578509175,-1197.74701729411,-1193.08115575783,-98543.6369608405,-1180.0906175908299,-1200.6681931751,-142114.5124122105,-936.988070565895,-142205.7751912865,-986.372355369955,-1038136.505220315,-1038067.50684402,-98839.767512793,-1192.9804893094201,-1192.405718813925,-1193.3008845879701,-98837.84361203051,-1195.815313676885,-1193.642271237865,-1193.22275747945,-196131.46394430898,-196118.86659052002,-196113.184787978,-196128.515906885
2,-142343.4505748,-1004.704969979045,-98530.06343564951,-1203.134475319915,-1201.58703384404,-98528.70214540549,-1192.6032529798151,-1208.0112524867,-98534.9494858985,-1197.63050190993,-1193.6620566382949,-98543.09978879151,-1180.27150787206,-1201.777141546885,-142096.681583634,-934.9803903084351,-142208.168667975,-986.379516053635,-1038140.5339713,-1038025.39907502,-98840.08476246,-1192.75435347163,-1192.20547037988,-1193.193425734765,-98837.861452303,-1196.046670216405,-1193.63633044025,-1193.2124825589449,-196131.1879858805,-196118.8204946165,-196113.83754766447,-196130.54855585747
3,-142345.4269698095,-1004.9421112564601,-98527.29482227,-1204.591949076095,-1202.26030834738,-98528.664645389,-1193.527739996545,-1208.1427527283452,-98534.52247457851,-1197.421742707595,-1194.313237611645,-98541.5872067355,-1181.456611601865,-1202.844140231025,-142102.2286428905,-936.3300871845951,-142210.820370465,-986.4940250044599,-1038145.326165175,-1038020.5880038,-98840.26821139599,-1192.627035283915,-1192.062515291775,-1193.0610237914,-98838.07783026,-1196.182280967105,-1193.5602332107999,-1193.0859460876,-196131.07760460948,-196118.9137996355,-196114.8694111725,-196131.68480924552
4,-142350.635854164,-1005.1872780047449,-98525.252120258,-1205.8849906815801,-1202.668292222545,-98526.82429591299,-1195.78599526974,-1208.2129049331252,-98533.24363291099,-1197.68868955368,-1194.72301974427,-98536.660427105,-1184.42777807931,-1203.674112608395,-142107.8979060445,-940.765683601705,-142209.46416056348,-985.7323078293549,-1038143.108510345,-1038008.747182585,-98840.271897598,-1192.8624651816651,-1191.96290038237,-1193.02145713883,-98837.917837541,-1196.33687962261,-1193.542107572705,-1193.121759876725,-196130.6640516025,-196118.486087307,-196117.11739052748,-196132.35068067902
5,-142360.480113904,-1006.09461097591,-98523.9718240635,-1206.756347423935,-1202.6329791425248,-98524.45175496151,-1197.46026317718,-1208.221370122735,-98532.0963497975,-1198.07156028505,-1194.7372540763051,-98531.9964337695,-1187.74082196511,-1204.043938700545,-142131.803096672,-949.0347048046601,-142208.49809471102,-984.98161203066,-1038141.511786265,-1038028.43714609,-98839.9686077145,-1193.137907331845,-1191.94829987185,-1193.03181631163,-98837.939020075,-1196.4136019311,-1193.514701868565,-1193.0247761384,-196130.30096070547,-196117.908109737,-196118.592341292,-196132.45020550748
6,-142368.5089690435,-1006.8736370223149,-98522.865157435,-1207.049712024765,-1202.0288250487201,-98521.9144034985,-1198.33331496859,-1208.33195710166,-98531.632652366,-1198.35785488697,-1194.872055752925,-98529.1120699715,-1189.71462544858,-1204.099165410415,-142167.17293212548,-958.7418052215501,-142207.165931764,-984.9230646671549,-1038140.582516795,-1038075.0493279101,-98839.99040724101,-1193.116078819825,-1191.93340583043,-1192.940247404505,-98838.05260183051,-1196.3423407938851,-1193.39911420481,-1192.91056337023,-196130.311517841,-196118.228525757,-196119.6279513885,-196132.728941715
7,-142377.0185716115,-1007.8743163115951,-98522.58188698899,-1206.7909863018099,-1201.046721880825,-98520.13737320599,-1198.80721031468,-1208.40430800516,-98531.2668388255,-1198.671263263685,-1194.727138497395,-98527.588279656,-1190.569170694355,-1203.582197581605,-142197.6923374885,-967.71859403796,-142205.34605331148,-984.6237140838549,-1038138.1324527051,-1038117.6143539901,-98839.84359453201,-1193.2315202432299,-1192.002436920455,-1192.94627710155,-98838.123592725,-1196.203870978705,-1193.29132976335,-1192.75218423102,-196130.29334413,-196118.20097638547,-196120.41026637252,-196132.716790901
8,-142383.326710808,-1009.1150484790251,-98523.430427585,-1206.05846938635,-1199.9194902884349,-98518.719802744,-1199.09817977688,-1208.548095324255,-98530.8352643865,-1198.9735623097401,-1194.4769012259799,-98527.3665273005,-1190.484316424715,-1202.55562159431,-142216.7628667785,-974.128618098655,-142204.376080715,-984.451238530125,-1038136.2942613899,-1038144.96072183,-98839.7994099925,-1193.290507220455,-1192.093057103155,-1192.98769137098,-98838.05485976051,-1196.087847035615,-1193.20268469179,-1192.6753390491301,-196130.31130255002,-196118.1152590615,-196120.6033929015,-196132.8236461255
9,-142388.279842582,-1009.80616202088,-98525.040242408,-1205.10888185448,-1198.739111067115,-98518.3735649315,-1199.3918234421049,-1208.58645159507,-98530.8137510395,-1198.891293711265,-1194.693005947195,-98529.2049601615,-1189.51104654153,-1201.68060430109,-142228.517059621,-978.381762377095,-142204.7468196935,-984.630612007495,-1038136.0572837599,-1038161.715691395,-98839.7832159085,-1193.321919017515,-1192.1276942482,-1192.940141596855,-98838.32604502999,-1195.92820673748,-1193.035761781755,-1192.48126870539,-196130.23377678602,-196118.358330477,-196121.1525529835,-196132.77825123048
