,REG,R
E_IQA_Intra(A)-n1,-4.666413574407532,-0.9890947895444872
E_IQA_Intra(A)-c2,-0.6178969185462918,-0.8759034625797081
E_IQA_Intra(A)-h3,0.1699664972963865,0.8151217579243235
E_IQA_Intra(A)-h4,0.3300156394305201,0.6689758674438123
E_IQA_Intra(A)-c5,-0.5003242865727457,-0.7790974025424194
E_IQA_Intra(A)-h6,0.011695876536091172,0.40052594819261256
E_IQA_Intra(A)-h7,-0.0618949063505406,-0.7371007005412408
E_IQA_Intra(A)-c8,-0.08620649660597275,-0.8764994865435732
E_IQA_Intra(A)-h9,0.06401996091538863,0.5677426993056083
E_IQA_Intra(A)-h10,0.08827607260823203,0.5999989184848473
E_IQA_Intra(A)-c11,0.30203001239557414,0.38332572116977426
E_IQA_Intra(A)-h12,0.0767087074514273,0.24758505142197756
E_IQA_Intra(A)-h13,-0.0005168499996084792,-0.0014127576991370867
E_IQA_Intra(A)-n14,0.3474243483083893,0.4430790680790023
E_IQA_Intra(A)-h15,0.25592488879668235,0.3689252065559249
E_IQA_Intra(A)-n16,-1.4834618441426741,-0.5091083647312953
E_IQA_Intra(A)-h17,-0.9273720837115872,-0.5555794103374126
E_IQA_Intra(A)-s18,-3.763293745696279,-0.46984386584106946
E_IQA_Intra(A)-s19,0.5515372255101392,0.12706817408844026
E_IQA_Intra(A)-c20,-0.056515244764276364,-0.4985142881833134
E_IQA_Intra(A)-h21,0.008169000464383968,0.6673145240212212
E_IQA_Intra(A)-h22,0.023008900713073096,0.39023423452039363
E_IQA_Intra(A)-h23,0.06618769384425352,0.5273271102535144
E_IQA_Intra(A)-c24,0.29368517847830694,0.8621336568485388
E_IQA_Intra(A)-h25,-0.9019759048259939,-0.942287144996315
E_IQA_Intra(A)-h26,-0.023878673750199936,-0.2941022684144499
E_IQA_Intra(A)-h27,0.05678049220541303,0.6092864348493591
E_IQA_Intra(A)-o28,-1.2370014825816995,-0.5030915757379198
E_IQA_Intra(A)-o29,-0.46073669648622256,-0.453855966749506
E_IQA_Intra(A)-o30,-1.4596929518221118,-0.5361653685074409
E_IQA_Intra(A)-o31,-0.718132226219771,-0.5461463585510108
E_IQA_Intra(A)-s32,-8.297135155822598,-0.9812254601666864
E_IQA_Intra(A)-o33,-0.7731484075296245,-0.9284978396941495
E_IQA_Intra(A)-o34,-0.30844774493561566,-0.7519711206894547
E_IQA_Intra(A)-c35,0.03867857603890195,0.20736739178524943
E_IQA_Intra(A)-h36,0.07828539274097836,0.7697224271681293
E_IQA_Intra(A)-h37,-0.5730477475599406,-0.604252267354626
E_IQA_Intra(A)-h38,0.37833214600158804,0.5909328013987922
