,E_IQA_Intra(A)-n1,E_IQA_Intra(A)-c2,E_IQA_Intra(A)-h3,E_IQA_Intra(A)-h4,E_IQA_Intra(A)-c5,E_IQA_Intra(A)-h6,E_IQA_Intra(A)-h7,E_IQA_Intra(A)-c8,E_IQA_Intra(A)-h9,E_IQA_Intra(A)-h10,E_IQA_Intra(A)-c11,E_IQA_Intra(A)-h12,E_IQA_Intra(A)-h13,E_IQA_Intra(A)-n14,E_IQA_Intra(A)-h15,E_IQA_Intra(A)-n16,E_IQA_Intra(A)-h17,E_IQA_Intra(A)-s18,E_IQA_Intra(A)-s19,E_IQA_Intra(A)-c20,E_IQA_Intra(A)-h21,E_IQA_Intra(A)-h22,E_IQA_Intra(A)-h23,E_IQA_Intra(A)-c24,E_IQA_Intra(A)-h25,E_IQA_Intra(A)-h26,E_IQA_Intra(A)-h27,E_IQA_Intra(A)-o28,E_IQA_Intra(A)-o29,E_IQA_Intra(A)-o30,E_IQA_Intra(A)-o31,E_IQA_Intra(A)-s32,E_IQA_Intra(A)-o33,E_IQA_Intra(A)-o34,E_IQA_Intra(A)-c35,E_IQA_Intra(A)-h36,E_IQA_Intra(A)-h37,E_IQA_Intra(A)-h38
0,-142098.793388806,-98534.2573305845,-1197.9613769504952,-1161.52569469847,-98529.52512938449,-1194.220163321585,-1185.35504487042,-98535.63288517,-1176.71494607823,-1202.0112267422999,-98542.35816905751,-1196.903374279555,-1175.4091195742399,-142253.67919524602,-981.217336036005,-142079.8250150955,-934.5413731808,-1038018.2239248351,-1038333.129755475,-98841.8953623955,-1194.743343871045,-1191.591236571495,-1190.186870904215,-98847.0571216505,-1195.8993037632001,-1191.79128662276,-1159.33820628586,-196107.357112656,-196103.1652104755,-196112.82842098648,-196128.8989804625,-1038435.807651945,-196106.86840996248,-196109.7289132165,-98841.46485653499,-1190.514557091245,-1193.3452383672002,-1171.6645543633051
1,-142108.47488855,-98533.794279026,-1198.983434110975,-1163.95190643603,-98531.9606639575,-1193.6992871734749,-1185.1275700538852,-98535.573869181,-1176.742991170385,-1202.044454518945,-98545.923920994,-1196.54538984878,-1169.848777624435,-142257.6988751285,-977.64826827679,-142085.468288425,-935.00473565101,-1038024.5747992949,-1038344.230001905,-98841.80783347649,-1194.69636934397,-1191.52868332511,-1190.65985801109,-98847.0269861615,-1195.54578706701,-1191.5855072053948,-1159.19164972064,-196106.799540472,-196102.3182294265,-196111.8828419105,-196129.0433724605,-1038447.954527695,-196107.16252634898,-196110.743671592,-98841.41267734801,-1190.469790793455,-1193.331431571585,-1171.17128416622
2,-142119.442689007,-98533.704098352,-1199.827684062365,-1166.699554699185,-98534.62401054,-1192.48476933705,-1184.298882753745,-98533.95490186501,-1176.73642403349,-1201.991780320175,-98546.532716683,-1196.207036018955,-1170.615084094775,-142281.0291889015,-976.4743443460651,-142075.8678719975,-932.6630073049599,-1038005.8525163251,-1038382.87948856,-98841.30049235851,-1194.71671602379,-1191.65428629993,-1191.240840912175,-98847.4394207055,-1194.1594652535,-1191.2709426372448,-1158.452616760515,-196105.969220846,-196100.8062354825,-196113.07591899502,-196129.4258605515,-1038461.0178867299,-196107.64545819352,-196112.4390225795,-98841.4940337165,-1190.443359937465,-1192.814005172945,-1170.17792466592
3,-142118.99524079502,-98533.4846249305,-1200.48920858679,-1168.8367063169098,-98535.986928594,-1191.35246506862,-1182.98150103043,-98533.7108065045,-1177.146137798095,-1202.078036659325,-98542.273887882,-1196.110474959875,-1174.600693756445,-142293.42700994152,-977.15050251482,-142077.3532066145,-930.6654919333,-1038009.6396162901,-1038398.79579466,-98840.89682435899,-1194.7205388043,-1191.70323454663,-1191.61466361919,-98847.61606434551,-1192.87272098853,-1191.3110876349551,-1159.28091766582,-196106.954796789,-196100.602094981,-196114.253713044,-196129.2993534595,-1038456.83893089,-196107.7510558035,-196112.64020414252,-98841.449528866,-1190.451494104035,-1192.41405238722,-1169.946058438085
4,-142105.682863587,-98532.4366250995,-1200.93240175596,-1170.14902331945,-98535.43118638349,-1190.53585575111,-1181.4688315190251,-98534.397477149,-1177.82344735362,-1202.3415265358149,-98536.420319879,-1195.75742904209,-1179.003592196555,-142290.799501434,-977.6939244090399,-142089.57878960352,-929.8695929536151,-1038032.297339975,-1038385.29662888,-98841.05269504299,-1194.69617211641,-1191.66365009317,-1191.84273691845,-98847.143114652,-1192.5688433605999,-1191.51002946267,-1161.260211621145,-196109.412779387,-196101.2140859035,-196114.029332563,-196128.8805547035,-1038432.51556375,-196107.54372006853,-196111.404168627,-98841.16305531001,-1190.5970245450899,-1192.60604060444,-1170.24400172713
5,-142081.752943375,-98530.6707190505,-1200.92378518002,-1170.67969688838,-98532.6152168605,-1190.1368426843449,-1179.968561482725,-98536.102571367,-1178.596302477335,-1202.7297239603502,-98531.24159989401,-1194.86497107747,-1183.34444657975,-142278.176155195,-978.1257619493949,-142109.25955073102,-931.2759301350999,-1038066.00474296,-1038351.141053045,-98841.2812106865,-1194.599616492115,-1191.54465203619,-1191.9250568191949,-98845.9873774285,-1193.24049278446,-1191.79377517668,-1164.0903915316198,-196112.40584151048,-196102.7264526685,-196112.14712211498,-196128.18663505348,-1038387.94308037,-196107.16411215102,-196108.7853505245,-98840.78347627299,-1190.851351400325,-1193.515293131165,-1171.03030290276
6,-142012.4646514935,-98522.162752169,-1200.12767875958,-1169.033961890995,-98518.28033867749,-1193.1323208717101,-1184.09817622246,-98537.459503281,-1179.09775557027,-1205.1798451812301,-98544.5150750685,-1190.610153856685,-1195.32677452578,-142245.159395236,-993.372946036855,-142124.798840282,-931.10023808132,-1037965.74766251,-1038153.8255913049,-98839.82785203401,-1194.6569419479201,-1192.44480534131,-1194.091184846435,-98848.527152228,-1170.18871148016,-1191.27074328303,-1192.60515817389,-196072.4932530605,-196086.1954487555,-196049.5571843675,-196098.525130194,-1038275.96624051,-196096.19335538102,-196101.037035311,-98845.3950856325,-1192.797826264335,-1169.036364276005,-1191.084718967825
7,-142029.1318453425,-98531.181969538,-1199.40100436927,-1163.3270964835249,-98530.01958192301,-1192.419000588305,-1184.812781268035,-98538.31289842649,-1181.4553622051799,-1202.039117245015,-98527.869454953,-1197.2390008975099,-1185.1195995872401,-142255.836983425,-975.041552600325,-142190.006514426,-965.999683992625,-1038154.049756495,-1038269.4490668799,-98842.393884459,-1194.511635829585,-1190.99446627636,-1191.30049912473,-98843.424839544,-1171.33253733526,-1192.61572029784,-1194.22568598207,-196129.23072814048,-196110.82655337598,-196112.19486158152,-196127.97838564453,-1038321.704787205,-196093.1771153435,-196109.13066678648,-98840.23714910551,-1190.90315957792,-1189.157735343225,-1177.45948353038
8,-142047.8357760675,-98533.2604229835,-1197.928766822725,-1161.019779620795,-98529.03125708151,-1192.49689914705,-1185.513690524135,-98538.91718875749,-1180.06560198436,-1201.92779271063,-98525.717059551,-1197.1840092224002,-1187.668229121785,-142252.875634716,-977.3164712918999,-142191.837175807,-969.138336602365,-1038152.70274372,-1038254.6075879701,-98842.431303085,-1194.426226056655,-1191.04178697561,-1191.22078742194,-98843.2844881905,-1171.47821850627,-1193.0085782736799,-1194.186646503645,-196129.50613258852,-196110.04547762798,-196111.495751318,-196128.57377815602,-1038353.069745345,-196093.9321986415,-196108.0346255565,-98841.06637652351,-1190.952489493555,-1189.85800851944,-1177.03472861759
9,-142065.5784534815,-98534.9999900165,-1196.323083328995,-1158.1989036684151,-98529.0117443655,-1192.510138992195,-1185.92412441088,-98539.330245545,-1179.09176864262,-1201.82458614348,-98524.5711364465,-1196.8136733106599,-1190.000234296155,-142244.57618767,-978.63231649385,-142194.368982214,-970.8692236536,-1038153.5976191399,-1038230.0868619949,-98842.5554603545,-1194.36851423227,-1191.065260809715,-1191.13615442944,-98842.9972637415,-1173.2064048631848,-1193.290737319275,-1193.806070669315,-196129.554649203,-196109.2946765205,-196111.29406040802,-196128.7701996875,-1038386.16677209,-196096.186329543,-196107.96393922,-98841.5803969135,-1190.81302269726,-1190.73677980507,-1176.28915482808
